EAR,MAR,Pitch,BlinkDuration,IsDrowsy
0.3072630140590842,0.5981698004423329,-173.76416554547873,0.0,0
0.3224861741230811,0.6020835647676772,-175.38635891322562,0.0,0
0.3295291167652637,0.6045039217025346,-174.77094866560984,0.0,0
0.3249447025228293,0.6211327446707627,-174.5609964939277,0.0,0
0.3382135028023327,0.5978086988713096,-173.95501919297618,0.0,0
0.3358397507484297,0.5941067459120379,-174.46037774460797,0.0,0
0.3348397496683184,0.5801164554948165,-173.89428386697043,0.0,0
0.3358743938154763,0.5817151417960424,-174.59613989589135,0.0,0
0.3459450630217433,0.5680015554026467,-175.8731401953116,0.0,0
0.3425745944843215,0.5701737522684136,-176.27433292448833,0.0,0
0.3391582454903389,0.560617816260815,-174.23224717733953,0.0,0
0.3387003898326205,0.5574061677419474,-174.23224717733953,0.0,0
0.3481184474502739,0.5416209094188544,-174.82488392833417,0.0,0
0.3417149038729316,0.5632386492517143,-175.50204030779938,0.0,0
0.350588874447592,0.565549564169342,-175.29741798709713,0.0,0
0.3513395880619164,0.5770021866033778,-175.29741798709713,0.0,0
0.3579068324288198,0.5314250701843096,-174.90925322245863,0.0,0
0.3539787511891231,0.5444178918092989,-175.82591731585867,0.0,0
0.3894591965264203,0.5433547645482704,-175.63116368954684,0.0,0
0.3889162991986005,0.5398258052072162,-175.5740093284617,0.0,0
0.4032349789328709,0.5747308111594037,-174.94229256314375,0.0,0
0.4089266840680298,0.559239146021923,-175.6270057799919,0.0,0
0.3921430058760025,0.5393526468378815,-174.89669557870363,0.0,0
0.3912463269938398,0.5476245291945011,-174.89669557870363,0.0,0
0.3943142641872489,0.5563424863371833,-175.47362042064066,0.0,0
0.387415502756448,0.5633798135496275,-175.40452567022794,0.0,0
0.386760693964402,0.5488468841221256,-176.06785931051192,0.0,0
0.3854204912595047,0.5436626865933402,-175.95345580553447,0.0,0
0.3927356452188136,0.5418794277343997,-175.8960227687841,0.0,0
0.3933602141325724,0.5434161048146176,-175.8960227687841,0.0,0
0.3988600486081797,0.5542027417844231,-176.1157240887389,0.0,0
0.4016031742408268,0.5620316577347204,-176.1157240887389,0.0,0
0.4082828323566607,0.5575769487572984,-175.9636867370431,0.0,0
0.414038319176454,0.5521253465396941,-175.2456690065562,0.0,0
0.406295120759498,0.5489192015922132,-176.02110256437877,0.0,0
0.4040572813681599,0.5475078410231748,-176.02110256437877,0.0,0
0.4028856435265178,0.5241784446938255,-175.95014010257995,0.0,0
0.4035597825821135,0.523011497431076,-175.95014010257995,0.0,0
